id,class,anchor,greater,height
210823,DataViz,150,FALSE,110
191321,DataViz,150,FALSE,100
225906,DataViz,50,FALSE,38
214793,DataViz,50,TRUE,100
215864,DataViz,50,TRUE,70
195148,DataViz,150,TRUE,160
210970,DataViz,50,TRUE,150
195348,DataViz,150,TRUE,300
250685,DataViz,50,TRUE,70
190505,DataViz,50,FALSE,20
193850,DataViz,50,TRUE,200
228352,DataViz,150,TRUE,200
216826,DataViz,50,TRUE,100
192640,DataViz,150,FALSE,100
234680,DataViz,150,FALSE,100
276547,DataViz,50,TRUE,80
191800,DataViz,50,TRUE,100
201042,DataViz,50,TRUE,75
271320,DataViz,150,TRUE,900
218769,DataViz,50,TRUE,100
224211,DataViz,150,TRUE,279
193079,DataViz,50,TRUE,100
196849,DataViz,50,TRUE,70
201164,DataViz,150,FALSE,120
221649,DataViz,150,FALSE,75
185045,DataViz,150,FALSE,200
213915,DataViz,150,FALSE,100
199993,DataViz,150,TRUE,1000
212117,DataViz,50,TRUE,70
208227,DataViz,150,TRUE,170
219087,DataViz,50,TRUE,70
220381,DataViz,50,TRUE,60
195274,DataViz,150,FALSE,80
223027,DataViz,150,FALSE,100
277079,DataViz,50,TRUE,150
203631,DataViz,50,TRUE,80
209944,DataViz,50,FALSE,14
214719,DataViz,150,TRUE,200
228024,DataViz,50,TRUE,150
209997,DataViz,150,TRUE,160
276628,DataViz,50,TRUE,70
229554,DataViz,150,FALSE,100
211829,DataViz,150,TRUE,200
190863,DataViz,50,FALSE,40
211575,DataViz,50,TRUE,120
282057,DataViz,50,TRUE,100
208927,DataViz,50,TRUE,150
200171,DataViz,50,TRUE,55
211862,DataViz,150,TRUE,200
235612,DataViz,150,FALSE,168
213384,DataViz,50,TRUE,100
199582,DataViz,50,TRUE,80
182530,DataViz,50,TRUE,80
222368,DataViz,150,TRUE,175
271952,DataViz,150,FALSE,100
116524,DataViz,50,FALSE,30
226880,DataViz,50,TRUE,70
192823,DataViz,50,TRUE,100
219416,DataViz,50,FALSE,30
242681,DataViz,150,TRUE,250
80685,DataViz,150,FALSE,115
222641,DataViz,150,TRUE,170
205830,DataViz,150,TRUE,250
225936,DataViz,50,TRUE,15
235023,DataViz,150,TRUE,200
211355,DataViz,150,FALSE,100
210813,DataViz,150,TRUE,350
282166,DataViz,50,TRUE,60
208167,DataViz,150,FALSE,110
54196,DataViz,50,FALSE,30
208819,DataViz,150,FALSE,120
201372,DataViz,150,TRUE,200
213120,DataViz,150,FALSE,100
212089,DataViz,50,TRUE,70
238490,DataViz,50,TRUE,100
213761,DataViz,50,FALSE,38
232740,DataViz,50,TRUE,90
211540,DataViz,50,TRUE,60
209152,DataViz,50,FALSE,3
199303,DataViz,50,TRUE,100
222372,DataViz,50,FALSE,35
209316,DataViz,150,FALSE,130
213849,DataViz,150,FALSE,100
213496,DataViz,150,FALSE,100
191022,DataViz,150,FALSE,70
208495,DataViz,50,TRUE,100
233530,DataViz,150,FALSE,100
228849,DataViz,50,TRUE,35
226687,DataViz,150,FALSE,200
201444,DataViz,150,FALSE,200
236026,DataViz,50,TRUE,70
220241,DataViz,50,TRUE,100
191952,DataViz,50,TRUE,150
